2ft10in,(70,158,30),(82,255,255)
3ft10in,(61,231,10),(83,255,254)
4ft10in,(73,227,31),(86,255,255)
5ft10in,(76,220,29),(87,255,255)
5ft4in,(70,158,30),(82,255,255)
6ft0in,(70,150,43),(91,255,255)
6ft10in,(77, 219, 17),(89,255,255)
6ft10in,(69,200,40),(89,255,255)
8ft6in,(78,78,160),(90,255,255)
8ft10in,(68,217,36),(86,255,255)
7ft10in,(77, 218, 20),(89,255,255)
7ft10in,(73,180,79),(90,255,255)
10ft10in,(70,198,51),(89,255,255)
10ft10in,(75,217,41),(89,255,255)
12ft10in,(73,209,40),(89,255,255)
13ft10in,(74,158,44),(89,255,255)
13ft6in,(55,171,37),(95,255,255)
17ft2in,(73,142,79),(90,255,255)
5ft6in,(75,237,20),(82,255,255)
8ft6in,(30,224,37),(88,255,255)
10ft6in,(69,207,32),(89,255,255)
12ft6in,(72,129,98),(87,255,255)
16ft6in,(70,160,53),(89,255,255)
18ft6in,(38,39,175),(85,255,255)
22ft6in,(8,81,163),(92,255,255)
14ft6in,(46,97,125),(89,255,255)
18ft6in,(33,160,49),(87,255,255)
22ft6in,(27,118,105),(103,255,255)
14ft6in,(37,155,56),(98,255,255)
